,Year,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
0,2010,998.0,58.16,5.0,1.75,0,0,0,0,1
1,2015,1582.0,126.2,5.0,12.5,1,0,0,0,1
2,2011,1199.0,88.7,5.0,4.5,0,0,0,1,1
3,2012,1248.0,88.76,7.0,6.0,1,0,0,0,1
4,2013,1968.0,140.8,5.0,17.74,1,0,0,0,0
5,2012,814.0,55.2,5.0,2.35,0,0,1,0,1
6,2013,1461.0,63.1,5.0,3.5,1,0,0,0,1
7,2016,2755.0,171.5,8.0,17.5,1,0,0,0,0
8,2013,1598.0,103.6,5.0,5.2,1,0,0,0,1
9,2012,1248.0,74.0,5.0,1.95,1,0,0,0,1
10,2018,1462.0,103.25,5.0,9.95,0,0,0,1,1
11,2012,1497.0,116.3,5.0,4.49,0,0,0,1,0
12,2015,1248.0,74.0,5.0,5.6,1,0,0,0,1
13,2014,2179.0,187.7,5.0,27.0,1,0,0,0,0
14,2012,2179.0,115.0,5.0,17.5,1,0,0,0,0
15,2014,2477.0,175.56,7.0,15.0,1,0,0,0,1
16,2016,1498.0,98.6,5.0,5.4,1,0,0,0,1
17,2017,1248.0,74.0,5.0,5.99,1,0,0,0,1
18,2014,1461.0,83.8,5.0,6.34,1,0,0,0,1
19,2014,2143.0,167.62,5.0,28.0,1,0,0,0,0
20,2014,1995.0,190.0,5.0,18.55,1,0,0,0,0
21,2015,1248.0,88.5,5.0,8.25,1,0,0,0,1
22,2015,1984.0,177.01,5.0,23.5,0,0,0,1,0
23,2010,1197.0,80.0,5.0,1.87,0,0,0,1,1
24,2010,1598.0,103.6,5.0,2.85,0,0,0,1,0
25,2012,1497.0,116.3,5.0,4.25,0,0,0,1,1
26,2012,1461.0,63.1,5.0,4.25,1,0,0,0,1
27,2013,998.0,67.1,5.0,2.75,0,0,0,1,1
28,2018,1199.0,88.7,5.0,9.9,0,0,0,1,1
